time,anom
2021-10-01,-0.79655445
2021-11-01,-0.85433763
2021-12-01,-1.0529101
2022-01-01,-0.8341858
2022-02-01,-0.73120403
2022-03-01,-0.89222324
2022-04-01,-0.97706443
2022-05-01,-1.0656879
2022-06-01,-0.68301415
2022-07-01,-0.61988467
2022-08-01,-1.0025591
2022-09-01,-0.9526441
