mes;TSM Niño 1+2;TSM Niño 3;TSM Niño 3.4;TSM Niño 4;TSM CBM;TSM TNA;TSM TSA
1;24.29;27.56;26.51;27.55;20.09;24.86;25.66
2;25.88;27.41;26.7;27.84;20.76;24.28;26.58
3;26.22;27.36;27.26;28.31;20.21;24.22;27.17
4;25.08;27.48;27.87;28.61;18.4;24.52;27.06
5;23.98;27.68;27.92;28.35;16.21;25.11;26.23
6;22.64;27.67;27.72;27.68;14.1;25.8;24.89
7;21.43;27.44;27.27;27.0;12.6;26.4;23.67
8;20.53;27.31;26.8;26.68;12.27;27.0;22.97
9;20.24;27.31;26.64;26.8;12.61;27.5;22.9
10;20.65;27.41;26.65;27.14;14.1;27.6;23.29
11;21.41;27.59;26.68;27.4;16.02;26.97;23.91
12;22.58;27.66;26.58;27.47;18.17;25.93;24.7
